artist,title,category,category_score,lyrics,mask
Lady Gaga,Poker Face,travel,"[[0.05444050952792168, 0.07688543945550919, 0.07902345806360245]]","mum-mum-mum-mah
mum-mum-mum-mah
mum-mum-mum-mah
mum-mum-mum-mah
mum-mum-mum-mah
i wanna hold 'em like they do in texas, please (woo)
fold 'em, let 'em hit me, raise it, baby, stay with me (i love it)
lovegame intuition, play the cards with spades to start
and after he's been hooked, i'll play the one that's on his heart
oh, woah-oh, oh, oh
oh-oh-oh-oh-oh-oh
i'll get him hot, show him what i've got
oh, woah-oh, oh, oh
oh-oh-oh-oh-oh-oh
i'll get him hot, show him what i've got
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
p-p-p-poker face, f-f-fuck her face
(mum-mum-mum-mah)
p-p-p-poker face, f-f-fuck her face
(mum-mum-mum-mah)
i wanna roll with him, a hard pair we will be (woo)
a little gamblin' is fun when you're with me (i love it, woo)
russian roulette is not the same without a gun
and baby, when it's love, if it's not rough, it isn't fun, fun
oh, woah-oh, oh, oh
oh-oh-oh-oh-oh-oh
i'll get him hot, show him what i've got
oh, woah-oh, oh, oh
oh-oh-oh-oh-oh-oh
i'll get him hot, show him what i've got
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
p-p-p-poker face, f-f-fuck her face
(mum-mum-mum-mah)
p-p-p-poker face, f-f-fuck her face
(mum-mum-mum-mah)
(mum-mum-mum-mah)
(mum-mum-mum-mah)
i won't tell you that i love you
kiss or hug you
'cause i'm bluffin' with my muffin
i'm not lyin', i'm just stunnin' with my love-glue-gunnin'
just like a chick in the casino
take your bank before i pay you out
i promise this, promise this
check this hand 'cause i'm marvelous
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
can't read my, can't read my
no, he can't read my poker face
(she's got me like nobody)
p-p-p-poker face, f-f-fuck her face
p-p-p-poker face, f-f-fuck her face
(she's got me like nobody)
p-p-p-poker face, f-f-fuck her face
(mum-mum-mum-mah)
p-p-p-poker face, f-f-fuck her face
(mum-mum-mum-mah)
p-p-p-poker face, f-f-fuck her face
(mum-mum-mum-mah)
p-p-p-poker face, f-f-fuck her face
(mum-mum-mum-mah)","2
2
2
2
2
00100000000
200000000000000
000000200
0000001000000
0200
2
000100000
0200
2
000100000
000001
0000020
10000
000001
0000020
10000
00200
2
00200
2
002000000000
0030000000000
020000000
0000000000001
0200
2
000100000
0200
2
000100000
000001
0000020
10000
000001
0000020
10000
00200
2
00200
2
2
2
00100000
0020
000002
003000000
0000002
00100000
02000
001000
000001
0000020
10000
000001
0000020
10000
000001
0000020
10000
000001
0000020
10000
000001
0000020
10000
000001
0000020
10000
00200
00200
10000
00200
2
00200
2
00200
2
00200
2"
Taylor Swift,Shake It Off,travel,"[[0.0038262554444372654, 0.06708459556102753, 0.07303182035684586]]","i stay out too late
got nothin' in my brain
that's what people say, mm-mm
that's what people say, mm-mm
i go on too many dates (haha)
but i can't make them stay
at least, that's what people say, mm-mm
that's what people say, mm-mm
but i keep cruisin'
can't stop, won't stop movin'
it's like i got this music in my mind
sayin', ""it's gonna be alright""
'cause the players gonna play, play, play, play, play
and the haters gonna hate, hate, hate, hate, hate
baby, i'm just gonna shake, shake, shake, shake, shake
i shake it off, i shake it off
heartbreakers gonna break, break, break, break, break
and the fakers gonna fake, fake, fake, fake, fake
baby, i'm just gonna shake, shake, shake, shake, shake
i shake it off, i shake it off
i never miss a beat
i'm lightnin' on my feet
and that's what they don't see, mm-mm
that's what they don't see, mm-mm
i'm dancin' on my own (dancin' on my own)
i make the moves up as i go (moves up as i go)
and that's what they don't know, mm-mm
that's what they don't know, mm-mm
but i keep cruisin'
can't stop, won't stop groovin'
it's like i got this music in my mind
sayin', ""it's gonna be alright""
'cause the players gonna play, play, play, play, play
and the haters gonna hate, hate, hate, hate, hate
baby, i'm just gonna shake, shake, shake, shake, shake
i shake it off, i shake it off
heartbreakers gonna break, break, break, break, break
and the fakers gonna fake, fake, fake, fake, fake
baby, i'm just gonna shake, shake, shake, shake, shake
i shake it off, i shake it off
i shake it off, i shake it off
i, i, i shake it off, i shake it off
i, i, i shake it off, i shake it off
i, i, i shake it off, i shake it off
hey, hey, hey
just think, while you've been gettin' down and out about the liars
and the dirty, dirty cheats of the world
you could've been gettin' down
to this sick beat
my ex-man brought his new girlfriend
she's like, ""oh my god,"" but i'm just gonna shake
and to the fella over there with the hella good hair
won't you come on over, baby? we can shake, shake, shake
yeah, oh-oh, oh
'cause the players gonna play, play, play, play, play
and the haters gonna hate, hate, hate, hate, hate (haters gonna hate)
baby, i'm just gonna shake, shake, shake, shake, shake
i shake it off, i shake it off (ha)
heartbreakers gonna break, break, break, break, break (mmm)
and the fakers gonna fake, fake, fake, fake, fake (they fake and fake and fake)
baby, i'm just gonna shake, shake, shake, shake, shake
i shake it off, i shake it off (i, i)
i shake it off, i shake it off
i, i, i shake it off, i shake it off
i, i, i shake it off, i shake it off
i, i, i shake it off (yeah), i shake it off
i shake it off, i shake it off
i, i, i shake it off, i shake it off (you got to)
i, i, i shake it off, i shake it off
i, i, i shake it off, i shake it off","00001
02000
00002
00002
0000020
000001
0000002
00002
0003
00002
000001000
20000
000000001
002000000
000020000
02000000
3000000
003000000
000020000
02000000
00001
03000
0000002
000002
030000000
0002000000000
0000002
000002
0003
00003
000001000
20000
000000001
002000000
000020000
02000000
3000000
003000000
000020000
02000000
02000000
0002000000
0002000000
0002000000
100
000000000002
00002000
02000
0001
020000
0000000002
00000000001
00000000002
010
000000001
002000000000
000020000
020000000
30000000
003000000000000
000020000
0200000000
02000000
0002000000
0002000000
00000000200
02000000
0002000000000
0002000000
0002000000"
Taylor Swift,Blank Space,travel,"[[0.019193200394511223, 0.1092480719089508, 0.16187648475170135]]","nice to meet you, where you been?
i could show you incredible things
magic, madness, heaven, sin
saw you there and i thought
""oh, my god, look at that face
you look like my next mistake
love's a game, wanna play?"" ayy
new money, suit and tie
i can read you like a magazine
ain't it funny? rumors fly
and i know you heard about me
so, hey, let's be friends
i'm dying to see how this one ends
grab your passport and my hand
i can make the bad guys good for a weekend
so it's gonna be forever
or it's gonna go down in flames?
you can tell me when it's over, mm
if the high was worth the pain
got a long list of ex-lovers
they'll tell you i'm insane
'cause you know i love the players
and you love the game
'cause we're young and we're reckless
we'll take this way too far
it'll leave you breathless, mm
or with a nasty scar
got a long list of ex-lovers
they'll tell you i'm insane
but i've got a blank space, baby
and i'll write your name
cherry lips, crystal skies
i could show you incredible things
stolen kisses, pretty lies
you're the king, baby, i'm your queen
find out what you want
be that girl for a month
wait, the worst is yet to come, oh, no
screaming, crying, perfect storms
i can make all the tables turn
rose garden filled with thorns
keep you second guessing, like
""oh, my god, who is she?""
i get drunk on jealousy
but you'll come back each time you leave
'cause, darling, i'm a nightmare dressed like a daydream
so it's gonna be forever
or it's gonna go down in flames?
you can tell me when it's over, mm
if the high was worth the pain
got a long list of ex-lovers
they'll tell you i'm insane
'cause you know i love the players
and you love the game
'cause we're young and we're reckless (oh)
we'll take this way too far
it'll leave you breathless (oh-oh), mm
or with a nasty scar
got a long list of ex-lovers
they'll tell you i'm insane (insane)
but i've got a blank space, baby
and i'll write your name
boys only want love if it's torture
don't say i didn't, say i didn't warn ya
boys only want love if it's torture
don't say i didn't, say i didn't warn ya
so it's gonna be forever
or it's gonna go down in flames?
you can tell me when it's over (over), mm
if the high was worth the pain
got a long list of ex-lovers
they'll tell you i'm insane (i'm insane)
'cause you know i love the players
and you love the game (and you love the game)
'cause we're young and we're reckless (yeah)
we'll take this way too far (ooh)
it'll leave you breathless, mm
or with a nasty scar (with a nasty scar)
got a long list of ex-lovers
they'll tell you i'm insane
but i've got a blank space, baby
and i'll write your name","0010000
001000
0200
100000
1000000
000002
000010
00200
0000002
00020
0000100
01000
00000002
002000
0000000002
00002
0000002
00000010
0010000
000002
00002
1000000
10000
000002
200000
00020
00002
000002
00002
0000010
01000
0020
001000
0200
0000002
00001
001000
002000000
0002
0000020
00002
00020
000001
00002
00000001
000000003
00002
0000002
00000010
0010000
000002
00002
1000000
10000
0000020
200000
000200
00002
000002
000002
0000010
01000
0000002
000000020
0000002
000000020
00002
0000002
000000100
0010000
000002
0000200
1000000
0000100000
0000020
2000000
00020
000020000
000002
00002
0000010
01000"
Taylor Swift,Anti-Hero,travel,"[[0.03572119027376175, 0.11933313310146332, 0.1416126787662506]]","i have this thing where i get older, but just never wiser
midnights become my afternoons
when my depression works the graveyard shift, all of the people
i've ghosted stand there in the room
i should not be left to my own devices
they come with prices and vices
i end up in crisis
(tale as old as time)
i wake up screaming from dreaming
one day, i'll watch as you're leaving
'cause you got tired of my scheming
(for the last time)
it's me, hi
i'm the problem, it's me
at teatime, everybody agrees
i'll stare directly at the sun, but never in the mirror
it must be exhausting always rooting for the anti-hero
sometimes, i feel like everybody is a sexy baby
and i'm a monster on the hill
too big to hang out, slowly lurching toward your favorite city
pierced through the heart, but never killed
did you hear my covert narcissism i disguise as altruism
like some kind of congressman?
(a tale as old as time)
i wake up screaming from dreaming
one day, i'll watch as you're leaving
and life will lose all its meaning
(for the last time)
it's me, hi
i'm the problem, it's me (i'm the problem, it's me)
at teatime, everybody agrees
i'll stare directly at the sun, but never in the mirror
it must be exhausting always rooting for the anti-hero
i have this dream my daughter-in-law kills me for the money
she thinks i left them in the will
the family gathers 'round and reads it and then someone screams out
""she's laughing up at us from hell""
it's me, hi
i'm the problem, it's me
it's me, hi
i'm the problem, it's me
it's me, hi
everybody agrees, everybody agrees
it's me, hi (hi)
i'm the problem, it's me (i'm the problem, it's me)
at teatime (teatime), everybody agrees (everybody agrees)
i'll stare directly at the sun, but never in the mirror
it must be exhausting always rooting for the anti-hero","000000000002
3000
00200000000
0300000
000000002
000002
00002
20000
000002
0000002
0000002
1000
002
00100
0300
00000000002
000000002
000000020
0000002
00000000001
2000000
0000020000
00002
020000
000002
0000002
0100000
1000
002
0010000000
0300
00000000002
000000002
00000200000
00000001
010000000000
0000001
002
00100
002
00100
002
0200
0002
0010000000
0300000
00000000002
000000002"
The Weeknd,Blinding Lights,travel,"[[0.04805019497871399, 0.08464062213897705, 0.13869230449199677]]","yeah
i've been tryna call
i've been on my own for long enough
maybe you can show me how to love, maybe
i'm goin' through withdrawals
you don't even have to do too much
you can turn me on with just a touch, baby
i look around and
sin city's cold and empty (oh)
no one's around to judge me (oh)
i can't see clearly when you're gone
i said, ooh, i'm blinded by the lights
no, i can't sleep until i feel your touch (touch)
i said, ooh, i'm drowning in the night
oh, when i'm like this, you're the one i trust
hey, hey, hey
i'm running out of time
'cause i can see the sun light up the sky
so i hit the road in overdrive, baby, oh
the city's cold and empty (oh)
no one's around to judge me (oh)
i can't see clearly when you're gone
and i said, ooh, i'm blinded by the lights
no, i can't sleep until i feel your touch (touch)
i said, ooh, i'm drowning in the night
oh, when i'm like this, you're the one i trust
i'm just coming back to let you know (back to let you know)
i could never say it on the phone (say it on the phone)
will never let you go this time (ooh)
i said, ooh, i'm blinded by the lights
no, i can't sleep until i feel your touch (touch)
hey, hey, hey
hey, hey, hey
i said, ooh, i'm blinded by the lights
no, i can't sleep until i feel your touch","1
0030
00001000
100000000
0002
00100000
0000000020
0100
200000
0000200
0000001
00002000
0000000020
00002000
0000000001
100
00001
0000020000
000000200
020000
0000200
0000001
000002000
0000000020
00002000
0000000001
0010000000000
0001000000000
00000010
00002000
0000000020
100
100
00002000
000000002"
The Weeknd,Starboy,leisure,"[[0.0567387193441391, 0.12530764937400818, 0.11617647111415863]]","ayy
i'm tryna put you in the worst mood, ah
p1 cleaner than your church shoes, ah
milli point two just to hurt you, ah
all red lamb' just to tease you, ah
none of these toys on lease too, ah
made your whole year in a week too, yah
main bitch outta your league too, ah
side bitch outta your league too, ah
house so empty, need a centerpiece
twenty racks a table, cut from ebony
cut that ivory into skinny pieces
then she clean it with her face, man, i love my baby, ah
you talkin' money, need a hearin' aid
you talkin' 'bout me, i don't see the shade
switch up my style, i take any lane
i switch up my cup, i kill any pain
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
look what you've done
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
i'm a motherfuckin' starboy
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
look what you've done
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
i'm a motherfuckin' starboy
every day, a nigga try to test me, ah
every day, a nigga try to end me, ah
pull off in that roadster sv, ah
pockets overweight, gettin' hefty, ah
comin' for the king, that's a far cry, i
i come alive in the fall time, i
the competition, i don't really listen
i'm in the blue mulsanne, bumpin' new edition
house so empty, need a centerpiece
twenty racks a table, cut from ebony
cut that ivory into skinny pieces
then she clean it with her face, man, i love my baby, ah
you talkin' money, need a hearin' aid
you talkin' 'bout me, i don't see the shade
switch up my style, i take any lane
i switch up my cup, i kill any pain
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
look what you've done
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
i'm a motherfuckin' starboy
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
look what you've done
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
i'm a motherfuckin' starboy
let a nigga brag pitt
legend of the fall, took the year like a bandit
bought mama a crib and a brand new wagon
now she hit the grocery shop lookin' lavish
star trek roof in that wraith of khan
girls get loose when they hear this song
a hundred on the dash get me close to god
we don't pray for love, we just pray for cars
house so empty, need a centerpiece
twenty racks a table, cut from ebony
cut that ivory into skinny pieces
then she clean it with her face, man, i love my baby, ah
you talkin' money, need a hearin' aid
you talkin' 'bout me, i don't see the shade
switch up my style, i take any lane
i switch up my cup, i kill any pain
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
look what you've done
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
i'm a motherfuckin' starboy
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
look what you've done
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
i'm a motherfuckin' starboy
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
look what you've done
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
i'm a motherfuckin' starboy
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
look what you've done
(ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
i'm a motherfuckin' starboy","3
000000020
2000000
30000000
00200000
00020000
000000100
0200000
1000000
000002
0200000
002000
0020000000000
0000002
000000002
00000002
000010000
20
1000
20
0003
20
1000
20
0003
000000100
000200000
0000300
20000
000100000
00000100
020000
00003000
000002
0200000
002000
0020000000000
0000002
000000002
00000002
000010000
20
1000
20
0003
20
1000
20
0003
00002
0000000002
000200000
00000002
00200000
00200000
0200000000
0020000000
000002
0200000
002000
0020000000000
0000002
000000002
00000002
000010000
20
1000
20
0003
20
1000
20
0003
20
1000
20
0003
20
1000
20
0003"
The Weeknd,Can't Feel My Face,travel,"[[-0.001831715926527977, -0.06038718298077583, 0.0570559948682785]]","and i know she'll be the death of me
at least we'll both be numb
and she'll always get the best of me
the worst is yet to come
but at least we'll both be beautiful
and stay forever young
this i know, uh
this i know
she told me, ""don't worry
about it""
she told me, ""don't worry
no more""
we both know we can't go
without it
she told me, ""you'll never
be alo-oh-oh-ooh""
i can't feel my face when i'm with you
but i love it
but i love it, oh
i can't feel my face when i'm with you
but i love it
but i love it, oh
and i know she'll be the death of me
at least we'll both be numb
and she'll always get the best of me
the worst is yet to come
all the misery was necessary
when we're deep in love
this i know (girl)
girl, i know, uh
she told me, ""don't worry
about it""
she told me, ""don't worry
no more""
we both know we can't go
without it
she told me, ""you'll never
be alo-oh-oh-ooh""
i can't feel my face when i'm with you
but i love it
but i love it, oh
i can't feel my face when i'm with you (i can't feel my face)
but i love it (but i love it)
but i love it (i can't feel my face), oh
i can't feel my face when i'm with you (when i'm with you)
but i love it (but i love it, yeah)
but i love it (but i love it), oh
(i can't feel my face) i can't feel my face when i'm with (when i'm with you) you
but i love it (but i love it)
but i love it (girl, i love it), oh
oh
oh-oh
ooh-ooh
she told me, ""don't worry
about it""
she told me, ""don't worry
no more""
we both know we can't go (can't go)
without it
she told me, ""you'll never
be alo-oh-oh—
ooh""
i can't feel my face when i'm with you (i can't feel my face, girl)
but i love it (but i love it, yeah)
but i love it (oh, i love it, yeah) oh
i can't feel my face when i'm with you (said, i can't feel my face)
but i love it (but i love it)
but i love it (girl, i love it), oh
(i can't feel my face) i can't feel my face when i'm with
(when i'm with you) you
but i love it (know i love it, girl)
but i love it (don't you think i do?), oh
(i can't feel my face) i can't feel my face when i'm with
(when i'm with you) you (i can't feel my face, girl)
but i love it (when i'm with you, baby)
but i love it (said, when i'm with you, baby), oh
i can't feel my fa—
uh
hey","000200000
000002
02000000
020000
0002000
0100
0010
001
00002
10
00002
01
000001
10
00010
03
000010000
1000
10000
000010000
1000
10000
000200000
000002
02000000
020000
00200
00001
0001
1000
00002
10
00002
01
000001
10
00010
03
000010000
1000
10000
00001000000000
00001000
0000001000
0000100000000
000010000
000010000
000000000000010000
00001000
000010000
1
1
2
00002
10
00002
01
00000100
10
00010
03
2
000010000000000
000010000
0000100000
000010000000000
00001000
000010000
0000000001000
10000
001000000
0000100000
0000000001000
10000000000
000000001
00000000010
00002
2
1"
Mark Ronson ft. Bruno Mars,Uptown Funk,travel,"[[-0.020687246695160866, -0.002868298441171646, 0.011359802447259426]]","doh
doh-doh-doh, doh-doh-doh, doh-doh
doh-doh-doh, doh-doh-doh, doh-doh
doh-doh-doh, doh-doh-doh, doh-doh
doh-doh-doh, doh-doh (aww, ow)
this hit, the ice cold
michelle pfeiffer, that white gold
this one, for them hood girls
them good girls
straight masterpieces
stylin', wilin'
livin' it up in the city
got chucks on with saint laurent
gotta kiss myself i'm so pretty
i'm too hot (hot damn)
call the police and the fireman
i'm too hot (hot damn)
make a dragon wanna retire, man
i'm too hot (hot damn)
say my name you know who i am
i'm too hot (hot damn)
am i bad 'bout that money
break it down
girls hit your hallelujah (woo!)
girls hit your hallelujah (woo!)
girls hit your hallelujah (woo!)
cause uptown funk gon' give it to you
cause uptown funk gon' give it to you
cause uptown funk gon' give it to you
saturday night and we in the spot
don’t believe me, just watch (come on)
doh
doh-doh-doh, doh-doh-doh, doh-doh (ah!)
don't believe me, just watch (doh-doh-doh, doh-doh–!)
doh
doh-doh-doh, doh-doh-doh, doh-doh (ah!)
doh-doh-doh, doh-doh–
don't believe me, just watch
don't believe me, just watch
don't believe me, just watch
don't believe me, just watch
hey, hey, hey, oh!
stop! wait a minute
fill my cup put some liquor in it
take a sip, sign the check
julio! get the stretch!
ride to harlem, hollywood, jackson, mississippi
if we show up, we gon’ show out
smoother than a fresh jar of skippy
i'm too hot (hot damn)
call the police and the fireman
i'm too hot (hot damn)
make a dragon wanna retire, man
i'm too hot (hot damn)
say my name you know who i am
i'm too hot (hot damn)
am i bad 'bout that money
break it down
girls hit your hallelujah (woo!)
girls hit your hallelujah (woo!)
girls hit your hallelujah (woo!)
cause uptown funk gon' give it to you
cause uptown funk gon' give it to you
cause uptown funk gon' give it to you
saturday night and we in the spot
don’t believe me, just watch (come on)
doh
doh-doh-doh, doh-doh-doh, doh-doh (ah!)
don't believe me, just watch (doh-doh-doh, doh-doh–!)
doh
doh-doh-doh, doh-doh-doh, doh-doh (ah!)
doh-doh-doh, doh-doh–
don't believe me, just watch
don't believe me, just watch
don't believe me, just watch
don't believe me, just watch
hey, hey, hey, oh!
doh
doh-doh-doh, doh-doh-doh, doh-doh
before we leave (
doh-doh-doh, doh-doh-doh, doh-doh
)
lemme tell y'all a lil' something (
doh-doh-doh, doh-doh-doh, doh-doh
)
uptown funk you up, uptown funk you up (
doh-doh-doh, doh-doh-doh, doh-doh
)
uptown funk you up, uptown funk you up (doh-doh-doh, doh-doh-doh, doh-doh)
i said uptown funk you up, uptown funk you up (doh-doh-doh, doh-doh-doh, doh-doh)
uptown funk you up, uptown funk you up (doh-doh-doh, doh-doh-doh, doh-doh)
come on, dance
jump on it (
doh-doh-doh, doh-doh-doh, doh-doh
)
if you sexy then flaunt it (
doh-doh-doh, doh-doh-doh, doh-doh
)
if you freaky then own it (
doh-doh-doh, doh-doh-doh, doh-doh
)
don't brag about it, come show me (
doh-doh-doh, doh-doh-doh, doh-doh
)
come on, dance (
doh-doh-doh, doh-doh-doh, doh-doh
)
jump on it (
doh-doh-doh, doh-doh-doh, doh-doh
)
if you sexy then flaunt it (
doh-doh-doh, doh-doh-doh, doh-doh)
well, it's saturday night and we in the spot
don't believe me, just watch (come on)
doh
doh-doh-doh, doh-doh-doh, doh-doh (ah!)
don't believe me, just watch (doh-doh-doh, doh-doh–!)
doh
doh-doh-doh, doh-doh-doh, doh-doh (ah!)
don't believe me, just watch (doh-doh-doh, doh-doh–!)
don't believe me, just watch
don't believe me, just watch
don't believe me, just watch
hey, hey, hey, oh!
uptown funk you up, uptown funk you up (say whaa?!)
uptown funk you up, uptown funk you up
uptown funk you up, uptown funk you up (say whaa?!)
uptown funk you up, uptown funk you up
uptown funk you up, uptown funk you up (say whaa?!)
uptown funk you up, uptown funk you up
uptown funk you up, uptown funk you up (say whaa?!)
uptown funk you up","3
030
030
030
3000
00020
20000
000020
001
02
30
200000
030000
020000
00010
000002
00010
002000
00010
00100000
00010
001000
100
00020
00020
00020
00200000
00200000
00200000
2000000
0000100
3
3000
0000030
3
3000
30
00001
00001
00001
00001
1000
1000
00000200
002000
2000
002000
00000200
0000003
00010
000002
00010
002000
00010
00100000
00010
001000
100
00020
00020
00020
00200000
00200000
00200000
2000000
0000100
3
3000
0000030
3
3000
30
00001
00001
00001
00001
1000
3
030
0010
030
3
0000200
030
3
200000000
030
3
20000000000
0020000000000
20000000000
002
2000
030
3
0020000
030
3
0020000
030
3
02000000
030
3
0020
030
3
2000
030
3
0020000
300
002000000
0000100
3
3000
0000030
3
3000
0000030
00001
00001
00001
1000
2000000000
20000000
2000000000
20000000
2000000000
20000000
2000000000
2000"
Bruno Mars,Just the Way You Are,travel,"[[0.01191188395023346, -0.07190661877393723, 0.02355402521789074]]","oh
oh
oh
oh
oh, her eyes, her eyes make the stars look like they're not shinin'
her hair, her hair falls perfectly without her tryin'
she's so beautiful, uh
and i tell her every day
yeah, i know, i know, when i compliment her, she won't believe me
and it's so, it's so sad to think that she don't see what i see
but every time she asks me, ""do i look okay?""
i say
when i see your face
there's not a thing that i would change
'cause you're amazing
just the way you are
and when you smile
the whole world stops and stares for a while
'cause, girl, you're amazing
just the way you are
yeah
her lips, her lips, i could kiss them all day if she'd let me
her laugh, her laugh, she hates, but i think it's so sexy
she's so beautiful, uh
and i tell her every day
oh, you know, you know, you know i'd never ask you to change
if perfect's what you're searching for, then just stay the same
so don't even bother askin' if you look okay
you know i'll say
when i see your face
there's not a thing that i would change
'cause you're amazing
just the way you are
and when you smile
the whole world stops and stares for a while
'cause, girl, you're amazing
just the way you are
the way you are
the way you are
girl, you're amazing
just the way you are
when i see your face
there's not a thing that i would change
'cause you're amazing
just the way you are
and when you smile
the whole world stops and stares for a while
'cause, girl, you're amazing
just the way you are
yeah","1
1
1
1
0000000000003
000100000
1000
001000
0000000200000
000002000000000
0000000001
01
10000
00000001
100
10000
0002
000200000
1000
10000
1
02000000000000
100000000000
1000
001000
0000000000001
03000000000
000030000
0001
10000
00000001
100
10000
0002
000200000
1000
10000
0100
0100
100
10000
10000
00000001
100
10000
0002
000200000
1000
10000
1"
Bruno Mars,Locked Out of Heaven,travel,"[[0.03632687032222748, 0.08724303543567657, 0.1406627744436264]]","(one, two, one, two, three)
aw, yeah, yeah
aw, yeah, yeah, yeah, yeah (uh)
aw, yeah, yeah
aw, yeah, yeah, yeah, yeah (uh)
never had much faith in love or miracles (uh)
never wanna put my heart on the line (uh)
but swimmin' in your water's somethin' spiritual (uh)
i'm born again every time you spend the night, —ight (uh)
'cause your sex takes me to paradise
yeah, your sex takes me to paradise
and it shows
yeah, yeah, yeah
'cause you make me feel like
i've been locked outta heaven
for too long
for too long
yeah, you make me feel like
i've been locked outta heaven
for too long
for too long
aw, yeah, yeah, yeah, yeah (uh)
aw, yeah, yeah
aw, yeah, yeah, yeah, yeah (uh)
you bring me to my knees, you make me testify (uh)
you can make a sinner change his ways (uh)
open up your gates 'cause i can't wait to see the light (uh)
and right there is where i wanna stay, —ay (uh)
'cause your sex takes me to paradise
yeah, your sex takes me to paradise
and it shows
yeah, yeah, yeah
'cause you make me feel like
i've been locked outta heaven
for too long
for too long
yeah, you make me feel like
i've been locked outta heaven
for too long
for too long
oh, woah, woah, woah
yeah, yeah, yeah
can i just stay here?
spend the rest of my days here?
oh, woah, woah, woah
yeah, yeah, yeah
can i just stay here?
spend the rest of my days here?
'cause you make me feel like
i've been locked outta heaven
for too long
for too long
yeah, you make me feel like
i've been locked outta heaven
for too long
for too long
aw, yeah, yeah, yeah, yeah (uh)
aw, yeah, yeah
aw, yeah, yeah, yeah, yeah (uh)","00001
010
000002
010
000002
000200000
000000010
03000000
01000000000
0000002
0000002
100
100
100000
00002
001
001
000010
00002
001
001
000002
010
000002
00000000020
000020000
0002000000000
0000000020
0000002
0000002
100
100
100000
00002
001
001
000010
00002
001
001
0200
100
00010
2000000
0200
100
00010
2000000
100000
00002
001
001
000010
00002
001
001
000002
010
000002"
